country,pop,tests,testpop,density,medianage,urbanpop,quarantine,schools,restrictions,hospibed,smokers,sex0,sex14,sex25,sex54,sex64,sex65plus,sexratio,lung,femalelung,malelung
Romania,"19,237,691",3708,5188.158306,84,43,55,,,,6.3,29.8,1.06,1.06,1.05,1.02,0.88,0.68,0.95,18.8,10.65,30.05
Russia,"145,934,462",116061,1257.394491,9,40,74,,,,8.2,40.9,1.06,1.06,1.05,0.96,0.75,0.45,0.86,14.51,5.9,30.85
Rwanda,"12,952,218",,,525,20,18,3/21/2020,,,1.6,,1.03,1.02,1,1,0.88,0.7,1,25.79,17.88,37.3
Saint Lucia,"183,627",,,301,34,19,,,,1.3,,1.06,1.06,1.03,0.93,0.86,0.83,0.95,24.89,13.02,37.89
Saint Vincent and the Grenadines,"115,000",,,307,33,78,,,,2.6,,1.03,1.02,1.02,1.08,1.06,0.87,1.03,18.27,6.31,30.45
San Marino,"33,931",,,566,47,97,,,,3.8,,1.1,1.14,1.06,0.89,0.99,0.81,0.94,,,
Saudi Arabia,"34,813,871",,,16,32,84,,,,2.7,15.4,1.05,1.05,1.15,1.31,1.21,1.05,1.19,12.41,9.55,15.56
Senegal,"16,743,927",,,87,19,49,,,,0.3,12.05,1.03,1.01,0.99,0.85,0.76,0.82,0.94,22.57,16.9,30.09
Serbia,"8,737,371",,,100,42,56,,,,5.7,41.65,1.07,1.06,1.06,1.02,0.93,0.7,0.95,23.27,15.49,33.82
Seychelles,"98,347",,,214,34,56,,,,3.6,25.9,1.03,1.05,1.1,1.12,1.06,0.64,1.06,19.52,11.52,31.47
Singapore,"5,850,342",,,8358,42,99,,,,2.4,16.5,1.07,1.05,0.97,0.95,1,0.83,0.96,8.32,3.17,14.81
Slovakia,"5,459,642",1595,3422.973041,114,41,54,,,,4.8,28.65,1.07,1.05,1.06,1.02,0.9,0.62,0.94,11.72,6.72,19.81
Slovenia,"2,078,938",6712,309.7345054,103,45,55,,,,4.6,20.2,1.07,1.06,1.05,1.02,0.97,0.68,0.95,11.89,8.36,16.95
Somalia,"15,893,222",,,25,17,47,,,,0.9,,1.03,1,1.02,1.07,0.96,0.64,1.01,18.02,15.15,21.39
South Africa,"59,308,690",645,91951.45736,49,28,67,,,,2.8,18.95,1.02,1.01,0.98,1.02,0.87,0.73,0.98,44.3,28.03,75.32
Spain,"46,754,778",,,94,45,80,3/15/2020,,,3,29.2,1.07,1.06,1.07,1.04,0.95,0.74,0.98,16.37,8.22,27.49
Sri Lanka,"21,413,249",,,341,34,18,,,,3.6,14.4,1.04,1.04,1.03,0.96,0.86,0.74,0.96,21.58,15.38,29.36
Sudan,"43,849,260",,,25,20,35,,,,0.8,,1.05,1.03,1.06,0.94,1.1,1.19,1.02,35.12,35.81,34.49
Suriname,"586,632",,,4,29,65,,,,3.1,,1.05,1.04,1.04,1.04,0.96,0.76,1.01,13.41,10.01,17.6
Sweden,"10,099,265",14300,706.2423077,25,41,88,,3/17/2020,3/11/2020,2.6,20.6,1.06,1.06,1.06,1.03,1.01,0.85,1,16.17,16.58,17.03
Switzerland,"8,654,622",4000,2163.6555,219,43,74,,3/13/2020,3/16/2020,4.7,23.3,1.06,1.06,1.04,1.01,1,0.78,0.97,15.22,11.94,19.47
Taiwan*,"23,816,775",18812,1266.041622,673,42,79,,2/2/2020,,10.4,,1.07,1.06,1.05,1,0.96,0.86,0.99,,,
Tanzania,"59,734,218",,,67,18,37,,,,0.7,15.65,1.03,1.02,1,1.01,0.78,0.75,0.99,18.09,14.24,22.47
Thailand,"69,799,978",7084,9853.187182,137,40,51,,,,2.1,21.85,1.05,1.05,1.04,0.98,0.89,0.78,0.97,25.82,12.91,41.67
The Bahamas,"393,244",,,39,32,86,,,,2.9,,1.03,1.03,1.03,1,0.81,0.62,0.96,6.29,3.35,10.43
The Gambia,"2,416,668",,,239,18,59,,,,1.1,,1.01,0.98,0.96,0.93,0.88,0.98,1.03,29.2,24.19,34.04
Togo,"8,278,724",,,152,19,43,,,,0.8,,1.03,1.01,1,0.99,0.89,0.76,0.98,29.36,24.97,34.77
Trinidad and Tobago,"1,399,488",,,273,36,52,,,,3,,1.03,1.04,1.09,1.09,0.99,0.77,1.03,14.1,6.52,23.73
Tunisia,"11,818,619",,,76,33,70,,,,2.3,,1.07,1.06,1.01,0.94,1.03,0.97,0.99,23.54,10.97,38.83
Turkey,"84,339,067",,,110,32,76,,3/16/2020,3/16/2020,2.7,25.95,1.05,1.05,1.04,1.03,0.99,0.8,1.01,35.63,21.2,55.26
US,"331,002,651",62657,5282.772093,36,38,83,,,,2.9,17.25,1.05,1.04,1.05,1,0.93,0.79,0.97,32.01,30.04,34.55
Ukraine,"43,733,762",500,87467.524,75,41,69,,,,8.8,31.7,1.06,1.06,1.05,0.96,0.75,0.5,0.86,11.11,4.73,22.11
United Arab Emirates,"9,890,402",125000,79.123216,118,33,86,,,,1.2,,1.05,1.05,1.47,3.2,2.93,1.69,2.18,18.37,12.55,20.21
United Kingdom,"67,886,011",50442,1345.823143,281,40,83,,3/20/2020,3/20/2020,2.8,19.15,1.05,1.05,1.04,1.04,0.98,0.81,0.99,23.66,21.11,26.84
Uruguay,"3,473,730",,,20,36,96,,,,2.8,23.05,1.04,1.04,1.03,0.98,0.89,0.66,0.94,33.57,23.14,49.85
Uzbekistan,"33,469,203",,,79,28,50,,,,4,13.1,1.06,1.05,1.03,0.99,0.9,0.74,0.99,10.42,7.99,13.64
Venezuela,"28,435,940",,,32,30,80,,,,0.8,,1.05,1.05,1.03,0.98,0.92,0.79,0.99,22.34,18.58,27.11
Vietnam,"97,338,579",9696,10039.04486,314,32,38,,,,2.6,24.2,1.11,1.11,1.08,1.01,0.85,0.63,1,26.26,16.8,41.72
Zambia,"18,383,955",,,25,18,45,,,,2,15.55,1.03,1.01,1,1.02,0.88,0.76,1,20.04,15.2,26.16
Hubei,,,,,,,1/23/2020,,,,,,,,,,,,,,
Alabama,,,,,,,,3/18/2020,,,,,,,,,,,,,
Alaska,,,,,,,,3/16/2020,,,,,,,,,,,,,
Arizona,,,,,,,,3/16/2020,,,,,,,,,,,,,
Arkansas,,,,,,,,3/17/2020,,,,,,,,,,,,,
California,,,,,,,3/19/2020,3/12/2020,3/17/2020,,,,,,,,,,,,
San Franciso,,,,,,,3/17/2020,,,,,,,,,,,,,,
Colorado,,,,,,,,3/18/2020,3/18/2020,,,,,,,,,,,,
Connecticut,,,,,,,3/18/2020,3/15/2020,3/16/2020,,,,,,,,,,,,
Delaware,,,,,,,,3/16/2020,3/16/2020,,,,,,,,,,,,
Florida,,,,,,,,3/16/2020,3/17/2020,,,,,,,,,,,,
GeorgiaUS,,,,,,,,3/18/2020,,,,,,,,,,,,,
Atlanta,,,,,,,,,3/19/2020,,,,,,,,,,,,
Hawaii,,,,,,,,3/13/2020,3/17/2020,,,,,,,,,,,,
Honolulu,,,,,,,3/23/2020,,,,,,,,,,,,,,
Idaho,,,,,,,,,3/18/2020,,,,,,,,,,,,
Illinois,,,,,,,3/21/2020,3/13/2020,3/16/2020,,,,,,,,,,,,
Indiana,,,,,,,,3/15/2020,3/16/2020,,,,,,,,,,,,
Iowa,,,,,,,,,3/17/2020,,,,,,,,,,,,
Kansas,,,,,,,,3/17/2020,,,,,,,,,,,,,
Kentucky,,,,,,,3/23/2020,3/16/2020,3/16/2020,,,,,,,,,,,,
